                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0613,                 4.3864,                 4.1867,                0.00213,                0.59567,                0.00275,                0.00073,                 2.6197,                 4.5087,                 4.1463,                0.00034,                0.00034,                0.00034
                      2,                 3.0554,                 3.9286,                 4.0394,                0.00209,                0.60289,                0.00424,                0.00101,                 2.5785,                 4.4588,                 4.0978,             0.00069307,             0.00069307,             0.00069307
                      3,                  2.905,                 3.7326,                 3.7103,                0.00198,                0.61733,                0.00328,                0.00072,                 2.5713,                 4.2806,                 4.1014,               0.001039,               0.001039,               0.001039
                      4,                 2.8407,                 3.5085,                 3.4724,                0.00172,                0.53791,                0.00173,                0.00044,                 2.5708,                 4.3992,                 4.2696,              0.0013778,              0.0013778,              0.0013778
                      5,                 2.9143,                 3.4467,                  3.377,                0.00187,                0.58484,                0.00219,                0.00053,                  2.472,                 4.2979,                 4.2404,              0.0017095,              0.0017095,              0.0017095
                      6,                 2.8477,                 3.2976,                 3.2389,                0.00194,                0.20939,                0.00152,                 0.0004,                 2.6443,                 4.3334,                 4.1856,               0.001901,               0.001901,               0.001901
                      7,                 2.8215,                 3.0549,                 3.1873,                 0.0225,                0.19134,                0.01294,                0.00379,                 2.3623,                 7.1057,                 3.2019,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.794,                 2.9653,                 3.1295,                0.00524,                0.04693,                0.00496,                0.00155,                 2.5903,                 19.107,                 3.6302,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.7078,                 2.8458,                 3.0629,                0.57184,                0.38267,                0.38927,                0.12941,                  2.255,                 3.1078,                 2.8885,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.7051,                 2.6936,                 3.0399,                0.35424,                0.41787,                0.31284,                0.09886,                 2.3307,                 3.2615,                  2.824,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.5077,                 2.4069,                  2.903,                 0.3442,                0.42599,                0.28667,                0.09337,                 2.2405,                  3.078,                 2.6314,               0.001802,               0.001802,               0.001802
                     12,                 2.5543,                  2.496,                 2.9174,                0.52476,                0.52221,                0.50476,                0.19831,                 2.1172,                 3.3595,                 2.5298,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.4318,                 2.2173,                 2.7982,                 0.5693,                0.47653,                0.48758,                0.19502,                  2.158,                 2.3997,                  2.656,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.3412,                 2.1875,                 2.7903,                0.67803,                 0.6386,                0.64858,                0.24415,                 2.0166,                 2.3209,                 2.5758,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.3389,                  2.067,                 2.7463,                0.65703,                0.65701,                0.69403,                0.25836,                 2.0663,                 2.1488,                 2.5132,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2619,                 1.9437,                 2.6469,                0.72069,                0.63899,                0.72881,                0.27762,                 2.0038,                 1.8877,                 2.4509,               0.001703,               0.001703,               0.001703
                     17,                 2.2086,                 1.8797,                 2.6377,                0.36597,                0.61889,                0.42534,                0.16834,                 1.9283,                 2.7182,                 2.4117,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1674,                  1.843,                 2.5847,                 0.7606,                0.68231,                0.75586,                 0.3901,                 1.8211,                 1.8627,                 2.2242,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.0353,                 1.8191,                 2.4357,                0.78081,                0.69445,                0.79801,                0.41072,                  1.795,                 1.7561,                 2.1669,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0308,                 1.6708,                 2.4224,                0.71552,                0.77256,                0.81072,                0.41756,                  1.691,                 1.4921,                 2.1003,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.9143,                 1.5969,                 2.3464,                0.83722,                0.79061,                0.88744,                0.51223,                 1.5475,                 1.4016,                 2.0611,               0.001604,               0.001604,               0.001604
